logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8278/thumb_2008_8278_8158_7822.png/fit-in/300x300,Prima International,Hall 8,C8-30,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,Saudi Arabia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11461/thumb_2008_11461_11340_5439.png/fit-in/300x300,PRIMALIS CORPORATION LIMITED,Za'abeel Plaza,ZP-D42,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Cambodia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8279/thumb_2008_8279_8159_4533.png/fit-in/300x300,"Prime Commodities Co.,Ltd.",Za'abeel Plaza,ZP-F43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Thailand
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8885/thumb_2008_8885_8765_1555.png/fit-in/300x300,Prime Nuts FZE,Hall 8,805,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11818/thumb_2008_11818_11697_7298.png/fit-in/300x300,"Prime Products Industry Co., Ltd.",Za'abeel Hall 2,Z2-D53,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Thailand
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11945/thumb_2008_11945_11824_6563.png/fit-in/300x300,Primex Intl Trading Corp.,Shk Saeed Hall 3,S3-E8,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12222/thumb_2008_12222_12101_7993.png/fit-in/300x300,Primore SRL,Za'abeel Hall 4,Z4-D6,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12097/thumb_2008_12097_11976_6548.png/fit-in/300x300,Princes Limited,Shk Saeed Hall 1,S1-B22,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13339/thumb_2008_13339_13218_1380.png/fit-in/300x300,PRINTING TALK PRINTING PRESS L.L.C.,Shk Rashid Hall,R-H45,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10021/thumb_2008_10021_9901_1924.png/fit-in/300x300,"Private Labeling, Manufacturing & Exporting",Za'abeel Hall 1,Z1-D4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/fatsoils.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13094/thumb_2008_13094_12973_1203.png/fit-in/300x300,Private Trade Unitary Enterprise “Burshtat”,Al Mustaqbal Plaza,MP-A28,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Belarus
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10760/thumb_2008_10760_10639_5794.png/fit-in/300x300,Privatmolkerei Bauer GmbH & Co. KG,Hall 2,C2-14_,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Germany
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10759/thumb_2008_10759_10638_8303.png/fit-in/300x300,Privatmolkerei Naarmann GmbH,Hall2,C2-2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Germany
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12515/thumb_2008_12515_12394_2091.png/fit-in/300x300,Prize Nuts,Trade Centre Arena,S-N21,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Chile
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12011/thumb_2008_12011_11890_3685.png/fit-in/300x300,Pro-Granos S.P.R. De R.L.,Trade Centre Arena,S-E17,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Mexico
https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/logo_exhibitor_default.png,Proactive Publications Ltd,,MEDIA PARTNER,,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10938/thumb_2008_10938_10817_8108.png/fit-in/300x300,PROBAR,Shk Saeed Hall 3,S3-D43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10495/thumb_2008_10495_10375_3349.png/fit-in/300x300,Prochamp BV,Shk Saeed Hall 2,S2-G57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Netherlands
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9796/thumb_2008_9796_9676_1751.png/fit-in/300x300,PROCOLOMBIA,Trade Centre Arena,S-K3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Colombia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8980/thumb_2008_8980_8860_4641.png/fit-in/300x300,Prodeca SA,Shk Saeed Hall 1,S1-H52,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10558/thumb_2008_10558_10437_3939.png/fit-in/300x300,Prodemar,Shk Saeed Hall 1,S1-k6,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11189/thumb_2008_11189_11068_1211.png/fit-in/300x300,ProdExport Ltd (Family Food Trading LLC),Shk Saeed Hall 2,S2-D54,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Ukraine
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8847/thumb_2008_8847_8727_5897.png/fit-in/300x300,Prodotti Rubicone S.r.l.,Hall 1,B1-34,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8486/thumb_2008_8486_8366_4523.png/fit-in/300x300,PRODUCTOS CHURRUCA,Za'abeel Hall 4,Z4-63,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10557/thumb_2008_10557_10436_6933.png/fit-in/300x300,"Productos Churruca,S.A",Shk Saeed Hall 1,S1-K69,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12071/thumb_2008_12071_11950_2322.png/fit-in/300x300,Productos Ramo,Trade Centre Arena,S-K3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Colombia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12070/thumb_2008_12070_11949_3894.png/fit-in/300x300,Productos Vicky SAS,Trade Centre Arena,S-K3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Colombia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11760/thumb_2008_11760_11639_6352.png/fit-in/300x300,Profood International Corp.,Shk Rashid Hall,R-186,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Philippines
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11259/thumb_2008_11259_11138_8287.png/fit-in/300x300,PROFUMA,Shk Saeed Hall 1,S1-G43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Hungary
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13270/thumb_2008_13270_13149_4635.png/fit-in/300x300,Progrow Global Commodities Private Limited,Za'abeel Plaza,ZP-J32,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11079/thumb_2008_11079_10958_9304.png/fit-in/300x300,Proistanbul Dis Tic. Ltd. Sti.,Za'abeel Hall 2,Z2-C42,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9720/thumb_2008_9720_9600_3063.png/fit-in/300x300,Prolac,Hall 1,E1-29,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12303/thumb_2008_12303_12182_7818.png/fit-in/300x300,Prolainat Maroc,Shk Maktoum Hall,M-H13,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Morocco
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11132/thumb_2008_11132_11011_7226.png/fit-in/300x300,Proliant Dairy,Hall 2,B2-38,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8487/thumb_2008_8487_8367_5354.png/fit-in/300x300,PROMAC FOOD PRODUCTS SDN BHD,Hall 2,225,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Malaysia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10567/thumb_2008_10567_10446_3242.png/fit-in/300x300,Promolac,Shk Saeed Hall 1,S1-K44,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/logo_exhibitor_default.png,Promotora d Exportacions Agroalimentaries - Prodeca,Shk Saeed Hall 3,S1-H52,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
