logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11522/thumb_2008_11522_11401_1262.png/fit-in/300x300,Emona SH. P. K.,Al Mustaqbal Plaza,MP-A2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Kosovo
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10035/thumb_2008_10035_9915_6708.png/fit-in/300x300,Emperor Akbar Cardamom,Concourse 1,CC3-80,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8069/thumb_2008_8069_7949_3331.png/fit-in/300x300,Empex for Industries Developed Food,Za'abeel Plaza,ZP-31,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Egypt
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8070/thumb_2008_8070_7950_5864.png/fit-in/300x300,Empire Teas (Pvt) Ltd,Za'abeel Link,ZL-C3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Sri Lanka
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9148/thumb_2008_9148_9028_1258.png/fit-in/300x300,Empros International,Za'abeel Hall 4,Z4-G60,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Canada
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13025/thumb_2008_13025_12904_1822.png/fit-in/300x300,Ena Food and Beverage Ltd.,Za'abeel Hall 4,Z4-B16,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Bangladesh
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12576/thumb_2008_12576_12455_7385.png/fit-in/300x300,Endeavour Meats Pty Ltd,Hall 4,A4-54,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,Australia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8414/thumb_2008_8414_8294_9914.png/fit-in/300x300,English Biscuit Manufacturers Pvt. Ltd.,The Pavilion,T-B2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8071/thumb_2008_8071_7951_7326.png/fit-in/300x300,Enka International,Za'abeel Hall 1,Z1-G55,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/fatsoils.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8072/thumb_2008_8072_7952_9609.png/fit-in/300x300,Enkay Indo Nigerian Industries Ltd,Za'abeel Plaza,ZP-C28,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Nigeria
