logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9524/thumb_2008_9524_9404_4408.png/fit-in/300x300,Covinor,Shk Saeed Hall 2,S2-A24,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11451/thumb_2008_11451_11330_3789.png/fit-in/300x300,CPT CORP,Al Mustaqbal Plaza,MP2-E33,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Viet Nam
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8929/thumb_2008_8929_8809_7696.png/fit-in/300x300,CPT International,Concourse 2,CC6-12,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8564/thumb_2008_8564_8444_7535.png/fit-in/300x300,Crackeys Mnfg -Francis Buhagiar,Trade Centre Arena,S-L47,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Malta
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8762/thumb_2008_8762_8642_4211.png/fit-in/300x300,Cradel S.r.l.,Shk Saeed Hall 1,S1-D43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11952/thumb_2008_11952_11831_2994.png/fit-in/300x300,Crain Marketing Inc,Shk Saeed Hall 3,S3-E24,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11950/thumb_2008_11950_11829_9757.png/fit-in/300x300,Crain Walnut Shelling,Shk Saeed Hall 3,S3-E28,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10364/thumb_2008_10364_10244_3569.png/fit-in/300x300,CRALPEY TRADING SA,Za'abeel Plaza,ZP-A35,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Uruguay
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12664/thumb_2008_12664_12543_9747.png/fit-in/300x300,Cranberry Marketing Committee,Shk Saeed Hall 3,S3-G14,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8763/thumb_2008_8763_8643_1141.png/fit-in/300x300,Crea SRL,Shk Saeed Hall 1,S1-D47,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12015/thumb_2008_12015_11894_9148.png/fit-in/300x300,Creative Foods,Trade Centre Arena,S-D4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Mexico
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9884/thumb_2008_9884_9764_3681.png/fit-in/300x300,Crop's,Shk Saeed Hall 2,S2-300,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Belgium
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10132/thumb_2008_10132_10012_4351.png/fit-in/300x300,Cropel International Private Limited,Trade Centre Arena,S-B59,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,India
https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/logo_exhibitor_default.png,Crops Vegetables,Shk Saeed Hall 2,S2-300,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Belgium
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9722/thumb_2008_9722_9602_7279.png/fit-in/300x300,Cross Reach Inc.,Trade Centre Arena,S-I13,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8037/thumb_2008_8037_7917_6868.png/fit-in/300x300,Crown Foods DMCC,Za'abeel Hall 6,Z6-F49,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9773/thumb_2008_9773_9653_5080.png/fit-in/300x300,"Crown Products, Inc.",Shk Saeed Hall 3,S3-E49,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8038/thumb_2008_8038_7918_3095.png/fit-in/300x300,Cruncho Chips Factory,The Pavilion,TP-230,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,Kuwait
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8039/thumb_2008_8039_7919_3573.png/fit-in/300x300,Crunchy Food Fze,Hall 6,643,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12106/thumb_2008_12106_11985_8779.png/fit-in/300x300,Crust & Crumb Bakery Ltd,Shk Saeed Hall 1,S1-A44,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11667/thumb_2008_11667_11546_5560.png/fit-in/300x300,CSM GIAS TRADING,Shk Rashid Hall,R-F45,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9145/thumb_2008_9145_9025_9266.png/fit-in/300x300,Cuover International Foods Limited,Shk Saeed Hall 2,S2-E4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Canada
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12241/thumb_2008_12241_12120_4322.png/fit-in/300x300,Curcija S.A.,Za'abeel Hall 4,Z4-E15,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13598/thumb_2008_13598_13442_1418.png/fit-in/300x300,CURIVO,Al Mustaqbal Plaza,MP-J2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Armenia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11467/thumb_2008_11467_11346_7019.png/fit-in/300x300,CURRENT NOODLES AND SNACKS,Al Mustaqbal Plaza,MP2-G23,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Nepal
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8040/thumb_2008_8040_7920_1513.png/fit-in/300x300,CUU Long Fish Joint Stock Company,Al Mustaqbal Plaza,MP-D29,,Viet Nam
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12008/thumb_2008_12008_11887_4707.png/fit-in/300x300,Cuula GmbH,Za'abeel Hall 2,Z2-D74,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Austria
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8941/thumb_2008_8941_8821_2007.png/fit-in/300x300,Cymru Wales,Shk Saeed Hall 1,S1-B22,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10368/thumb_2008_10368_10248_7365.png/fit-in/300x300,Cymru Wales,Hall 2,A2-24,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10298/thumb_2008_10298_10178_1808.png/fit-in/300x300,Cyprus Millers,Shk Saeed Hall 1,S1-J23,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Cyprus
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10295/thumb_2008_10295_10175_2765.png/fit-in/300x300,Cyprus Potato Marketing Board,Shk Saeed Hall 1,S1-133,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Cyprus
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10309/thumb_2008_10309_10189_7297.png/fit-in/300x300,Cyprus Trade Centre,Shk Saeed Hall 1,S1-I12,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
