logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10553/thumb_2008_10553_10432_5085.png/fit-in/300x300,Salysol Quality Snacks,Shk Saeed Hall 1,S1-L11,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12001/thumb_2008_12001_11880_8711.png/fit-in/300x300,SalzburgMilch GmbH,Hall 1,D1-42,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Austria
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8309/thumb_2008_8309_8189_2875.png/fit-in/300x300,Sam Global Trading,Concourse 1,CC3-26,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10002/thumb_2008_10002_9882_8555.png/fit-in/300x300,Samaara Tea Group,Za'abeel Link,ZL-A4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12217/thumb_2008_12217_12096_2014.png/fit-in/300x300,Samal Agro SA,Za'abeel Hall 4,Z4-D27,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11987/thumb_2008_11987_11866_8346.png/fit-in/300x300,Saman Tea,Za'abeel Hall 2,Z2-B76,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10517/thumb_2008_10517_10396_1658.png/fit-in/300x300,SAMANU GROUP - ETHIOPIA,Za'abeel Plaza,ZP-57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Ethiopia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12301/thumb_2008_12301_12180_5992.png/fit-in/300x300,Samara,Shk Maktoum Hall,M-G8,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Morocco
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12610/thumb_2008_12610_12489_1605.png/fit-in/300x300,SAMBA FOODS,Trade Centre Arena,S-I44DD,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Brazil
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12573/thumb_2008_12573_12452_1783.png/fit-in/300x300,Samex Australian Meat Company Pty. Ltd.,Hall 4,B4-35,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,Australia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9054/thumb_2008_9054_8934_5638.png/fit-in/300x300,SAMIRA MAATOUK GROUP LIMITED,Za'abeel Hall 3,Z3-E22,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,United Arab Emirates
