logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12166/thumb_2008_12166_12045_7124.png/fit-in/300x300,MLEKOVITA,Hall 2,D2-51,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Poland
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11729/thumb_2008_11729_11608_9600.png/fit-in/300x300,Mlekpol,Hall 2,B2-3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Poland
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11455/thumb_2008_11455_11334_6299.png/fit-in/300x300,Mnd Kahvaltilik Gida San. Ve Tic. A.S.,Shk Maktoum Hall,M-B52,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10180/thumb_2008_10180_10060_6497.png/fit-in/300x300,Mobakher Co.,Shk Rashid Hall,R-A38,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Syrian Arab Republic
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12615/thumb_2008_12615_12494_7779.png/fit-in/300x300,Mococa,Trade Centre Arena,S-I68,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Brazil
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11625/thumb_2008_11625_11504_3735.png/fit-in/300x300,Modern Bakeries Co.,Shk Maktoum Hall,M-D18,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Egypt
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11741/thumb_2008_11741_11620_5525.png/fit-in/300x300,Modern Bakery L.L.C,Hall 8,825,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11023/thumb_2008_11023_10902_7838.png/fit-in/300x300,Modern Cikolata Gida San Ve Tic A.S.,Shk Maktoum Hall,M-A50,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12824/thumb_2008_12824_12703_4337.png/fit-in/300x300,Modern Food For Food Indusrties,Shk Rashid Hall,R-C37,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Saudi Arabia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11974/thumb_2008_11974_11853_1655.png/fit-in/300x300,Modern Food Products,Trade Centre Arena,S-C17,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,India
