logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12761/thumb_2008_12761_12640_8724.png/fit-in/300x300,Foodex,Za'abeel Hall 6,Z6-G46,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Pakistan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10654/thumb_2008_10654_10533_1813.png/fit-in/300x300,Foodibev International,Za'abeel Hall 2,Z2-C50,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9426/thumb_2008_9426_9306_2661.png/fit-in/300x300,Foodness S.p.A.,Hall 1,A1-44,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9381/thumb_2008_9381_9261_3965.png/fit-in/300x300,FOODOPIA CO. LTD.,Shk Rashid Hall,R-246,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Taiwan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10934/thumb_2008_10934_10813_7757.png/fit-in/300x300,"FoodSource, Inc.",Shk Saeed Hall 3,S3-D63,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United States
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11836/thumb_2008_11836_11715_3226.png/fit-in/300x300,"Foodstar Co., Ltd.",Za'abeel Hall 2,Z2-E55,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Thailand
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8688/thumb_2008_8688_8568_5590.png/fit-in/300x300,FoodStudio,Trade Centre Arena,S-H59,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Estonia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11911/thumb_2008_11911_11790_4617.png/fit-in/300x300,FoodTechBiz (OPC) Private Limited,Concourse 1,BM-24,,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10993/thumb_2008_10993_10872_5195.png/fit-in/300x300,Fora Olives / Olive Oil,Za'abeel Hall 1,Z1-D49,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/fatsoils.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8924/thumb_2008_8924_8804_8679.png/fit-in/300x300,Forrest Fresh Foods,Shk Saeed Hall 1,S1-C17,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
