logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10619/thumb_2008_10619_10498_5177.png/fit-in/300x300,Arruabarrena,Shk Saeed Hall 1,S1-J59,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13329/thumb_2008_13329_13208_2473.png/fit-in/300x300,Arta LLC,Al Mustaqbal Plaza,MP-F2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Russia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13629/thumb_2008_13629_13473_7304.png/fit-in/300x300,Artashat Cannery OJSC,Al Mustaqbal Plaza,MP-H2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Armenia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8725/thumb_2008_8725_8605_4552.png/fit-in/300x300,Arteolio Società Agricola S.r.l. - SB,Za'abeel Hall 1,Z1-C31,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/fatsoils.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9975/thumb_2008_9975_9855_1039.png/fit-in/300x300,ARTEXPORT HANOI,Za'abeel Plaza,ZP-B42,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Viet Nam
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11935/thumb_2008_11935_11814_3485.png/fit-in/300x300,ARUBA - HINTRAG,Shk Rashid Hall,R-J40,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Lebanon
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13250/thumb_2008_13250_13129_6613.png/fit-in/300x300,ARY'S by TAURUS FOODS,Za'abeel Plaza,ZP-K32,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13163/thumb_2008_13163_13042_6773.png/fit-in/300x300,Aryana Exports LLP,Za'abeel Plaza,ZP-L20,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12339/thumb_2008_12339_12218_3335.png/fit-in/300x300,Arzak Tria Group,Shk Maktoum Hall,M-F4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Morocco
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8679/thumb_2008_8679_8559_4844.png/fit-in/300x300,AS A. Le Coq,Trade Centre Arena,S-G48,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Estonia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9137/thumb_2008_9137_9017_7225.png/fit-in/300x300,AS CANADA / AL MAIDA FOOD INDUSTRIES L.L.C,Za'abeel Hall 4,Z4-H53,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11240/thumb_2008_11240_11119_7884.png/fit-in/300x300,AS Dobeles dzirnavnieks,Trade Centre Arena,S-H23,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Latvia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10081/thumb_2008_10081_9961_3762.png/fit-in/300x300,Asfive Agro Private Limited,Za'abeel Hall 5,Z5-G53,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10274/thumb_2008_10274_10154_2216.png/fit-in/300x300,Ashbourne Meat Processors,Shk Saeed Hall 3,S3-D29,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Ireland
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8406/thumb_2008_8406_8286_5424.png/fit-in/300x300,Asia & Africa General Trading LLC,Za'abeel Hall 6,Z6-E4,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9423/thumb_2008_9423_9303_7067.png/fit-in/300x300,Asia Europe Trade Co Sa.,The Pavilion,TP-30,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,Belgium
https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/logo_exhibitor_default.png,"Asia First Media Co., Ltd",,MEDIA PARTNER,,Taiwan
