logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8578/thumb_2008_8578_8458_9083.png/fit-in/300x300,BR-Tomassen,Hall 3,361,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,Netherlands
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11246/thumb_2008_11246_11125_8250.png/fit-in/300x300,Bradava Ltd.,Trade Centre Arena,S-H15,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Latvia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8930/thumb_2008_8930_8810_9701.png/fit-in/300x300,Brand Distribution,Za'abeel Hall 3,Z3-130,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/beverages.png,Poland
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8931/thumb_2008_8931_8811_7079.png/fit-in/300x300,Brand Factory Ltd,Concourse 2,CCR-43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8025/thumb_2008_8025_7905_5257.png/fit-in/300x300,Brand Solutions Ltd,Al Mustaqbal Plaza,MP-G22,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Bulgaria
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10533/thumb_2008_10533_10412_7857.png/fit-in/300x300,BrasserieVal de Sambre,Shk Saeed Hall 2,S2-D23,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Belgium
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8736/thumb_2008_8736_8616_6586.png/fit-in/300x300,Brazzale Company,Hall 1,C1-26,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10898/thumb_2008_10898_10777_5174.png/fit-in/300x300,Bretas Family S.A.,Shk Saeed Hall 1,S1-G58,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Greece
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10897/thumb_2008_10897_10776_1532.png/fit-in/300x300,Bretas SA,Shk Saeed Hall 1,S1-G62,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Greece
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10693/thumb_2008_10693_10572_8586.png/fit-in/300x300,Brevia Agro s.r.o.,Shk Saeed Hall 3,S3-B44,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Czech Republic
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11931/thumb_2008_11931_11810_4747.png/fit-in/300x300,Brevis LTD,Shk Rashid Hall,R-K47,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Bulgaria
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10752/thumb_2008_10752_10631_5869.png/fit-in/300x300,Brezelbaeckerei Ditsch GmbH,Shk Saeed Hall 3,S3-B19,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Germany
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8409/thumb_2008_8409_8289_5738.png/fit-in/300x300,BRF Foods GMBH Dubai Branch,Hall 3,D3-7,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8026/thumb_2008_8026_7906_6634.png/fit-in/300x300,Bridor S.A.S.,Shk Saeed Hall 2,S2-103,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9458/thumb_2008_9458_9338_6912.png/fit-in/300x300,BRIOCHE PASQUIER,Shk Saeed Hall 2,S2-C11,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8928/thumb_2008_8928_8808_9300.png/fit-in/300x300,Brits Treats,Shk Saeed Hall 1,S1-B59,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
