logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9157/thumb_2008_9157_9037_6613.png/fit-in/300x300,Horizon Grains Ltd.,Za'abeel Hall 4,Z4-H59,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Canada
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12694/thumb_2008_12694_12573_4218.png/fit-in/300x300,HOSPITALITY NEWS ME,Concourse 1,BM-4,,Lebanon
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12691/thumb_2008_12691_12570_7380.png/fit-in/300x300,Hotel & Catering News ME,Concourse 1,BM-18,,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11633/thumb_2008_11633_11512_7247.png/fit-in/300x300,HOTLINE FOR FOOD INDUSTRIAL,Shk Maktoum Hall,M-D36,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Egypt
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10890/thumb_2008_10890_10769_2680.png/fit-in/300x300,Hotos Dairy S.A,Hall 2,D2-29,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Greece
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8135/thumb_2008_8135_8015_6891.png/fit-in/300x300,House of POPS,Hall 2,B2-20,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12692/thumb_2008_12692_12571_7792.png/fit-in/300x300,Hozpitality.com,Concourse 1,BM-6,,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12059/thumb_2008_12059_11938_9202.png/fit-in/300x300,HPRJ AGRI TRADERS PRIVATE LIMITED,Za'abeel Plaza,ZP-103,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10114/thumb_2008_10114_9994_4439.png/fit-in/300x300,HR Exports Pvt Ltd,Za'abeel Hall 5,Z5-F21,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10048/thumb_2008_10048_9928_7308.png/fit-in/300x300,HRL Foods Pvt. Ltd.,Za'abeel Plaza,ZP-K46,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8920/thumb_2008_8920_8800_9095.png/fit-in/300x300,HT Drinks,Concourse 2,CCR-55,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12900/thumb_2008_12900_12779_9032.png/fit-in/300x300,HT NUTS,Za'abeel Hall 4,Z4-E7,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11502/thumb_2008_11502_11381_3127.png/fit-in/300x300,HUA KHIANG FOOD EXPORT(S) PTE LTD,Shk Rashid Hall,R-J19,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Singapore
