logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10549/thumb_2008_10549_10428_7592.png/fit-in/300x300,Snacks el Valle,Shk Saeed Hall 1,S1-J10,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11675/thumb_2008_11675_11554_3519.png/fit-in/300x300,SNACKS TUNISIA SA,Shk Rashid Hall,R-E18,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11656/thumb_2008_11656_11535_5878.png/fit-in/300x300,Soboco,Shk Rashid Hall,R-E16,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11332/thumb_2008_11332_11211_6496.png/fit-in/300x300,SOCHA FMCG,Al Mustaqbal Plaza,MP-L3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Afghanistan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11356/thumb_2008_11356_11235_5982.png/fit-in/300x300,Sociedade da Água de Monchique,Trade Centre Arena,S-203,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Portugal
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11654/thumb_2008_11654_11533_9798.png/fit-in/300x300,Société Agricole et Froid Trading - SAFT,Shk Rashid Hall,R-E38,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11648/thumb_2008_11648_11527_3554.png/fit-in/300x300,societe Agro-Export Sahel,Shk Rashid Hall,R-E40,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8335/thumb_2008_8335_8215_8728.png/fit-in/300x300,SOCIETE DIAMANT DATTES,The Pavilion,TP-100,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11652/thumb_2008_11652_11531_5155.png/fit-in/300x300,Société les Douceurs des Dattes Arjoun,Shk Rashid Hall,R-F43,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11673/thumb_2008_11673_11552_2747.png/fit-in/300x300,SOCIETE MANARA AGROS SARL,Shk Rashid Hall,R-F3,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Tunisia
