logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11694/thumb_2008_11694_11573_9773.png/fit-in/300x300,Dubai Economic Development Corporation,Concourse 1,CCS-1,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8056/thumb_2008_8056_7936_1820.png/fit-in/300x300,Dubai Industrial City,Concourse 2,CCM-1,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10324/thumb_2008_10324_10204_3702.png/fit-in/300x300,Dubai Integrated Economic Zone Authority (DIEZA),Concourse 2,CCR-57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9856/thumb_2008_9856_9736_3945.png/fit-in/300x300,Dubai Multi Commodities Centre Authority,Concourse 2,CCR-25,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10391/thumb_2008_10391_10271_8684.png/fit-in/300x300,Dubai Municipality,Concourse 2,CCR-10,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13335/thumb_2008_13335_13214_2004.png/fit-in/300x300,Dubai Trading & Confectionery CO.(L.L.C),Shk Rashid Hall,R-G42,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11170/thumb_2008_11170_11049_9508.png/fit-in/300x300,DulciLight Sweeteners,Shk Saeed Hall 3,S1-I51,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12092/thumb_2008_12092_11971_3495.png/fit-in/300x300,Dundeis UK Ltd,Shk Saeed Hall 1,S1-B22,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8926/thumb_2008_8926_8806_5652.png/fit-in/300x300,Duniya Limited,Concourse 2,CCR-39,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10983/thumb_2008_10983_10862_6697.png/fit-in/300x300,Dunya Food Ihr. Ith. San. Tic. A.S.,Hall 2,F2-47,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12798/thumb_2008_12798_12677_5303.png/fit-in/300x300,Durvesh International,Za'abeel Plaza,ZP-C2,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Pakistan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8583/thumb_2008_8583_8463_8289.png/fit-in/300x300,Dutso Dairy B.V.,Hall 1,F1-45,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Netherlands
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8057/thumb_2008_8057_7937_8680.png/fit-in/300x300,DYNAMIC DEAL GENERAL TRADING LLC,Al Mustaqbal Plaza,MP2-158,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8058/thumb_2008_8058_7938_2078.png/fit-in/300x300,Dynamic Pearl General Trading LLC,Al Mustaqbal Plaza,MP2-124,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8927/thumb_2008_8927_8807_9521.png/fit-in/300x300,E-Natural Limited,Shk Saeed Hall 1,S1-C61,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Kingdom
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10307/thumb_2008_10307_10187_4578.png/fit-in/300x300,E. Neophytou Trading Co Ltd,Shk Saeed Hall 1,S1-J37,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Cyprus
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11327/thumb_2008_11327_11206_6287.png/fit-in/300x300,East Asia Palm Products Sdn Bhd,Za'abeel Hall 1,Z1-C10,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/fatsoils.png,Malaysia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11436/thumb_2008_11436_11315_3201.png/fit-in/300x300,"East Dawn Nuts Co.,Ltd",Al Mustaqbal Plaza,MP2-H20,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,China
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11933/thumb_2008_11933_11812_5409.png/fit-in/300x300,EAST GROUP IMPEX,Shk Rashid Hall,R-K13,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Lebanon
